rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
81,6462863,K00094.03,Kepler-89 e,CONFIRMED,CANDIDATE,0.9530,0,0,0,0
82,6462863,K00094.04,Kepler-89 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
83,5780885,K00097.01,Kepler-7 b,CONFIRMED,CANDIDATE,0.9990,0,1,0,0
84,10264660,K00098.01,Kepler-14 b,CONFIRMED,CANDIDATE,0.9940,0,0,0,0
85,4055765,K00100.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
86,8456679,K00102.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
88,2444412,K00103.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
89,10318874,K00104.01,Kepler-94 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
90,8711794,K00105.01,Kepler-463 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
92,11250587,K00107.01,Kepler-464 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
93,4914423,K00108.01,Kepler-103 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
94,4914423,K00108.02,Kepler-103 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
96,9450647,K00110.01,Kepler-465 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
97,6678383,K00111.01,Kepler-104 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
98,6678383,K00111.02,Kepler-104 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
99,6678383,K00111.03,Kepler-104 d,CONFIRMED,CANDIDATE,0.9780,0,0,0,0
100,10984090,K00112.01,Kepler-466 b,CONFIRMED,CANDIDATE,0.9900,0,0,0,0
101,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
103,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
104,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
105,9579641,K00115.03,,CANDIDATE,CANDIDATE,0.8710,0,0,0,0
106,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
107,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,0.9980,0,0,0,0
108,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,0.9500,0,0,0,0
109,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,0.9520,0,0,0,0
110,10875245,K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE,0.9920,0,0,0,0
111,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
112,10875245,K00117.03,Kepler-107 b,CONFIRMED,CANDIDATE,0.9950,0,0,0,0
113,10875245,K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE,0.9980,0,0,0,0
114,3531558,K00118.01,Kepler-467 b,CONFIRMED,CANDIDATE,0.9120,0,0,0,0
115,9471974,K00119.01,Kepler-108 b,CONFIRMED,CANDIDATE,0.9590,0,0,0,0
116,9471974,K00119.02,Kepler-108 c,CONFIRMED,CANDIDATE,0.9870,0,0,0,0
117,11869052,K00120.01,,CANDIDATE,CANDIDATE,0.5730,0,0,0,0
119,8349582,K00122.01,Kepler-95 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
120,5094751,K00123.01,Kepler-109 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
121,5094751,K00123.02,Kepler-109 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
123,11086270,K00124.02,Kepler-110 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
124,11449844,K00125.01,Kepler-468 b,CONFIRMED,CANDIDATE,0.9200,0,0,0,0
126,5897826,K00126.02,,CANDIDATE,CANDIDATE,0.9970,0,0,0,0
127,8359498,K00127.01,Kepler-77 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
128,11359879,K00128.01,Kepler-15 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0
129,11974540,K00129.01,Kepler-470 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
130,5297298,K00130.01,,CANDIDATE,CANDIDATE,0.9130,0,0,0,0
131,7778437,K00131.01,Kepler-471 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
135,9818381,K00135.01,Kepler-43 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
137,8644288,K00137.01,Kepler-18 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
138,8644288,K00137.02,Kepler-18 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
139,8644288,K00137.03,Kepler-18 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
141,8559644,K00139.01,Kepler-111 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
142,8559644,K00139.02,Kepler-111 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
144,12105051,K00141.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
145,4649305,K00143.01,,CANDIDATE,CANDIDATE,0.9830,0,0,0,0
146,4180280,K00144.01,Kepler-472 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
147,9904059,K00145.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
150,5735762,K00148.01,Kepler-48 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
151,5735762,K00148.02,Kepler-48 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
152,5735762,K00148.03,Kepler-48 d,CONFIRMED,CANDIDATE,0.9980,0,0,0,0
153,3835670,K00149.01,Kepler-473 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
154,7626506,K00150.01,Kepler-112 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
155,7626506,K00150.02,Kepler-112 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
156,2307199,K00151.01,,CANDIDATE,CANDIDATE,0.7520,0,0,0,0
157,8394721,K00152.01,Kepler-79 d,CONFIRMED,CANDIDATE,0.9940,0,0,0,0
158,8394721,K00152.02,Kepler-79 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
159,8394721,K00152.03,Kepler-79 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
160,8394721,K00152.04,Kepler-79 e,CONFIRMED,CANDIDATE,0.9760,0,0,0,0
161,12252424,K00153.01,Kepler-113 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
162,12252424,K00153.02,Kepler-113 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
163,8030148,K00155.01,Kepler-474 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
164,10925104,K00156.01,Kepler-114 c,CONFIRMED,CANDIDATE,0.6800,0,0,0,0
165,10925104,K00156.02,Kepler-114 b,CONFIRMED,CANDIDATE,0.9920,0,0,0,0
166,10925104,K00156.03,Kepler-114 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
167,6541920,K00157.01,Kepler-11 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
168,6541920,K00157.02,Kepler-11 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
169,6541920,K00157.03,Kepler-11 e,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
170,6541920,K00157.04,Kepler-11 f,CONFIRMED,CANDIDATE,0.9980,0,0,0,0
171,6541920,K00157.05,Kepler-11 g,CONFIRMED,CANDIDATE,0.9970,0,0,0,0
172,6541920,K00157.06,Kepler-11 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
174,8972058,K00159.01,Kepler-115 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
175,8972058,K00159.02,Kepler-115 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
176,6631721,K00160.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
177,5084942,K00161.01,Kepler-475 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
178,8107380,K00162.01,Kepler-476 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
179,6851425,K00163.01,Kepler-477 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
181,9527915,K00165.01,Kepler-478 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
182,2441495,K00166.01,Kepler-479 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
183,11666881,K00167.01,Kepler-480 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
184,11512246,K00168.01,Kepler-23 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
185,11512246,K00168.02,Kepler-23 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
186,11512246,K00168.03,Kepler-23 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0
189,7831264,K00171.01,Kepler-116 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
190,7831264,K00171.02,Kepler-116 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
191,8692861,K00172.01,Kepler-69 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
192,8692861,K00172.02,Kepler-69 c,CONFIRMED,CANDIDATE,0.6930,0,0,0,0
193,11402995,K00173.01,Kepler-481 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
194,10810838,K00174.01,Kepler-482 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
196,6442377,K00176.01,Kepler-483 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
197,6803202,K00177.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
199,9663113,K00179.01,Kepler-458 c,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
201,9573539,K00180.01,Kepler-484 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
203,5376836,K00182.01,,CANDIDATE,CANDIDATE,0.8760,0,1,0,0
204,9651668,K00183.01,Kepler-423 b,CONFIRMED,CANDIDATE,0.9950,0,0,0,0
207,12019440,K00186.01,Kepler-485 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0
209,5357901,K00188.01,Kepler-425 b,CONFIRMED,CANDIDATE,0.9950,0,0,0,0
210,11391018,K00189.01,Kepler-486 b,CONFIRMED,CANDIDATE,0.9820,0,0,0,0
212,5972334,K00191.01,Kepler-487 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0
213,5972334,K00191.02,,CANDIDATE,CANDIDATE,0.9960,0,0,0,0
214,5972334,K00191.03,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0
216,7950644,K00192.01,Kepler-427 b,CONFIRMED,CANDIDATE,0.9910,0,0,0,0
218,10904857,K00194.01,Kepler-488 b,CONFIRMED,CANDIDATE,0.8020,0,1,0,0
219,11502867,K00195.01,Kepler-426 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
220,9410930,K00196.01,Kepler-41 b,CONFIRMED,CANDIDATE,1.0000,0,1,0,0
221,2987027,K00197.01,Kepler-489 b,CONFIRMED,CANDIDATE,0.9900,0,0,0,0
223,10019708,K00199.01,Kepler-490 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
225,6046540,K00200.01,Kepler-74 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0
226,6849046,K00201.01,Kepler-491 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0
227,7877496,K00202.01,Kepler-412 b,CONFIRMED,CANDIDATE,1.0000,0,1,0,0
228,10619192,K00203.01,Kepler-17 b,CONFIRMED,CANDIDATE,1.0000,0,1,0,0
229,9305831,K00204.01,Kepler-44 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
230,7046804,K00205.01,Kepler-492 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0
231,5728139,K00206.01,Kepler-433 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
232,3762468,K00208.01,Kepler-493 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
233,10723750,K00209.01,Kepler-117 c,CONFIRMED,CANDIDATE,0.9930,0,0,0,0
234,10723750,K00209.02,Kepler-117 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
236,10656508,K00211.01,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0
237,6300348,K00212.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
239,11046458,K00214.01,Kepler-424 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
241,6152974,K00216.01,Kepler-118 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
242,6152974,K00216.02,Kepler-118 b,CONFIRMED,CANDIDATE,0.9920,0,0,0,0
243,9595827,K00217.01,Kepler-71 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
245,6305192,K00219.01,Kepler-494 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
246,7132798,K00220.01,Kepler-119 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
247,7132798,K00220.02,Kepler-119 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
248,3937519,K00221.01,Kepler-495 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
249,3937519,K00221.02,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
250,4249725,K00222.01,Kepler-120 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
251,4249725,K00222.02,Kepler-120 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
252,4545187,K00223.01,Kepler-121 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
253,4545187,K00223.02,Kepler-121 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
256,5959753,K00226.01,Kepler-496 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
257,3847907,K00229.01,Kepler-497 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
260,4833421,K00232.01,Kepler-122 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
261,4833421,K00232.02,Kepler-122 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
262,4833421,K00232.03,Kepler-122 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
263,4833421,K00232.04,Kepler-122 e,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
264,4833421,K00232.05,Kepler-122 f,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
266,8491277,K00234.01,Kepler-498 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
267,8107225,K00235.01,Kepler-499 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
269,8041216,K00237.01,Kepler-500 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
270,7219825,K00238.01,Kepler-123 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
271,7219825,K00238.02,Kepler-123 c,CONFIRMED,CANDIDATE,0.9930,0,0,0,0
272,7219825,K00238.03,,CANDIDATE,CANDIDATE,0.7840,0,0,0,0
273,6383785,K00239.01,Kepler-501 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
274,6383785,K00239.02,,CANDIDATE,CANDIDATE,0.9970,0,0,0,0
276,11288051,K00241.01,Kepler-124 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
277,11288051,K00241.02,Kepler-124 d,CONFIRMED,CANDIDATE,0.9820,0,0,0,0
278,11288051,K00241.03,Kepler-124 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
279,3642741,K00242.01,Kepler-503 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
281,4349452,K00244.01,Kepler-25 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
282,4349452,K00244.02,Kepler-25 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
283,8478994,K00245.01,Kepler-37 d,CONFIRMED,CANDIDATE,0.9970,0,0,0,0
284,8478994,K00245.02,Kepler-37 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
285,11295426,K00246.01,Kepler-68 A b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
286,11295426,K00246.02,Kepler-68 A c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
287,11852982,K00247.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
288,5364071,K00248.01,Kepler-49 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
289,5364071,K00248.02,Kepler-49 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
290,5364071,K00248.03,Kepler-49 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
291,5364071,K00248.04,Kepler-49 e,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
292,9390653,K00249.01,Kepler-504 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
293,9757613,K00250.01,Kepler-26 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
294,9757613,K00250.02,Kepler-26 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
295,9757613,K00250.03,Kepler-26 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
296,9757613,K00250.04,Kepler-26 e,CONFIRMED,CANDIDATE,0.9650,0,0,0,0
297,10489206,K00251.01,Kepler-125 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
298,10489206,K00251.02,Kepler-125 c,CONFIRMED,CANDIDATE,0.9970,0,0,0,0
299,11187837,K00252.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
300,11752906,K00253.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
301,11752906,K00253.02,,CANDIDATE,CANDIDATE,0.9930,0,0,0,0
302,5794240,K00254.01,Kepler-45 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
303,7021681,K00255.01,Kepler-505 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
304,7021681,K00255.02,,CANDIDATE,CANDIDATE,0.9970,0,0,0,0
307,5514383,K00257.01,Kepler-506 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
310,8292840,K00260.01,Kepler-126 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
311,8292840,K00260.02,Kepler-126 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
312,8292840,K00260.03,Kepler-126 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
313,5383248,K00261.01,Kepler-96 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
314,11807274,K00262.01,Kepler-50 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
315,11807274,K00262.02,Kepler-50 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
318,12024120,K00265.01,Kepler-507 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
319,7375348,K00266.01,Kepler-508 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
320,7375348,K00266.02,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
321,3425851,K00268.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
322,7670943,K00269.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
323,6528464,K00270.01,Kepler-449 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
324,6528464,K00270.02,Kepler-449 c,CONFIRMED,CANDIDATE,0.7970,0,0,0,0
325,9451706,K00271.01,Kepler-127 d,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
326,9451706,K00271.02,Kepler-127 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
327,9451706,K00271.03,Kepler-127 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
329,3102384,K00273.01,Kepler-454 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
330,8077137,K00274.01,Kepler-128 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
331,8077137,K00274.02,Kepler-128 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
332,10586004,K00275.01,Kepler-129 b,CONFIRMED,CANDIDATE,0.9520,0,0,0,0
333,10586004,K00275.02,Kepler-129 c,CONFIRMED,CANDIDATE,0.8030,0,0,0,0
334,11133306,K00276.01,Kepler-509 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
335,11401755,K00277.01,Kepler-36 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
337,12314973,K00279.01,Kepler-450 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
338,12314973,K00279.02,Kepler-450 c,CONFIRMED,CANDIDATE,0.9980,0,0,0,0
339,12314973,K00279.03,Kepler-450 d,CONFIRMED,CANDIDATE,0.9840,0,0,0,0
340,4141376,K00280.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
341,4143755,K00281.01,Kepler-510 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
342,5088536,K00282.01,Kepler-130 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
343,5088536,K00282.02,Kepler-130 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
344,5088536,K00282.03,Kepler-130 d,CONFIRMED,CANDIDATE,0.8940,0,0,0,0
345,5695396,K00283.01,Kepler-131 b,CONFIRMED,CANDIDATE,0.9760,0,0,0,0
346,5695396,K00283.02,Kepler-131 c,CONFIRMED,CANDIDATE,0.9830,0,0,0,0
347,6021275,K00284.01,Kepler-132 d,CONFIRMED,CANDIDATE,0.9710,0,0,0,0
348,6021275,K00284.02,Kepler-132 c,CONFIRMED,CANDIDATE,0.9190,0,0,0,0
349,6021275,K00284.03,Kepler-132 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0
350,6021275,K00284.04,Kepler-132 e,CONFIRMED,CANDIDATE,0.8440,0,0,0,0
351,6196457,K00285.01,Kepler-92 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
352,6196457,K00285.02,Kepler-92 c,CONFIRMED,CANDIDATE,0.9760,0,0,0,0
356,9592705,K00288.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
357,10386922,K00289.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
358,10386922,K00289.02,Kepler-511 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
360,10933561,K00291.01,Kepler-133 c,CONFIRMED,CANDIDATE,0.9950,0,0,0,0
361,10933561,K00291.02,Kepler-133 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
362,11075737,K00292.01,Kepler-97 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
364,11259686,K00294.01,Kepler-512 b,CONFIRMED,CANDIDATE,0.5900,0,0,0,0
365,11547513,K00295.01,Kepler-134 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
366,11547513,K00295.02,Kepler-134 c,CONFIRMED,CANDIDATE,0.9580,0,0,0,0
367,11802615,K00296.01,Kepler-513 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
368,11905011,K00297.01,Kepler-514 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
369,12785320,K00298.01,Kepler-515 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
370,12785320,K00298.02,,CANDIDATE,CANDIDATE,0.9150,0,0,0,0
371,2692377,K00299.01,Kepler-98 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
373,3642289,K00301.01,Kepler-135 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
